Unnamed: 0,User,Age,Country,Platform,Day,Month,Year,Hour,Likes,Retweets,Comment,Hashtags,worlds,value_worlds,Sentiment,Timestamp,Daily Social Media Time (hrs)
0,AbyssOfTime,32,Netherlands,Facebook,22,11,2016,9,45,22,"Painful echoes of a love once cherished, now lost in the abyss of time. ",#LostLove #PainfulEchoes,432,436,LostLove,2016-11-22 09:45:00.000000 UTC,4.35
1,AcceptanceSeeker,62,Canada,Facebook,16,2,2023,18,30,15,Finding acceptance in the midst of life's challenges.,#Acceptance #Challenges,67,69,Acceptance,2023-02-16 18:20:00.000000 UTC,4.96
2,AdeleConcertGoer,51,USA,Instagram,15,9,2022,20,80,40,"At the front row of Adele's concert, each note of 'Someone Like You' resonates with soul-stirring emotion. ",#Emotion #AdeleConcert,511,515,Emotion,2022-09-15 20:00:00.000000 UTC,6.78
3,AdeleMelodyTearjerker,44,UK,Facebook,28,11,2019,19,60,30,"Immersed in the soulful melodies of Adele, tears flow freely, moved by the emotion of 'Hello'. ",#Emotion #AdeleMelodies,523,527,Emotion,2019-11-28 19:45:00.000000 UTC,5.06
4,AdventureAwaits,21,USA,Instagram,17,2,2023,7,40,20,Anticipating a thrilling adventure in the coming weeks.,#Anticipation #Adventure,69,71,Anticipation,2023-02-17 07:30:00.000000 UTC,2.57
5,AdventureAwaits,21,Australia,Instagram,30,4,2017,11,40,20,Arousal of excitement for an upcoming adventure.,#Arousal #AdventureTime,132,134,Arousal,2017-04-30 11:30:00.000000 UTC,4.69
6,AdventureSeeker,16,UK,Instagram,5,6,2023,10,35,18,Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape,#GetawayGoals #TeenTravel,597,601,Excitement,2023-06-05 10:00:00.000000 UTC,3.59
7,AdventureX,58,UK,Facebook,15,1,2023,18,15,8,Excited about the upcoming weekend getaway!,#Travel #Adventure,3,3,Positive,2023-01-15 18:20:00.000000 UTC,4.2
8,AffectionSender,44,USA,Instagram,15,2,2023,16,30,15,Sending affectionate vibes to all my followers!,#Affection #PositiveVibes,63,65,Affection,2023-02-15 16:00:00.000000 UTC,5.3
9,AloofObserver,49,Canada,Facebook,22,3,2023,16,20,10," Floating through the day with an air of indifference, detached from the mundane happenings around. ",#Indifference #FloatingThroughLife,208,210,Indifference,2023-03-22 16:30:00.000000 UTC,3.62
10,AlpsSkiAdventurer,14,Switzerland,Twitter,10,1,2019,14,45,22,"Skiing down the slopes of the Swiss Alps, each turn a dance with the majesty of snow-capped peaks. ",#Adventure #SnowPeakDance,508,512,Adventure,2019-01-10 14:45:00.000000 UTC,2.58
11,AmazonExplorer,63,Brazil,Instagram,10,6,2021,16,60,30,"In the midst of the Amazon rainforest, a symphony of wildlife creates an orchestra of nature's wonders. ",#Wonder #NatureOrchestra,504,508,Wonder,2021-06-10 16:00:00.000000 UTC,1.86
12,AmusedSoul,56,UK,Instagram,14,2,2023,14,35,18,An amusing incident brightened up my day!,#Amusement #FunTimes,60,62,Amusement,2023-02-14 14:20:00.000000 UTC,0.51
13,AngkorWatAdventurer,24,Cambodia,Instagram,22,11,2016,13,40,20,"Exploring the ancient ruins of Angkor Wat, each stone whispering stories of Khmer civilization. ",#Exploration #KhmerStories,507,511,Exploration,2016-11-22 13:00:00.000000 UTC,6
14,AngryDebater,22,Canada,Twitter,20,2,2023,9,40,20,Fuming with anger after a heated argument.,#Anger #Argument,77,79,Anger,2023-02-20 09:30:00.000000 UTC,3.73
15,AntiCorruption,22,UK,Twitter,21,2,2023,18,35,18,The state of corruption in our society is utterly disgusting.,#Disgust #Corruption,80,82,Disgust,2023-02-21 18:20:00.000000 UTC,3.1
16,ApatheticObserver,28,Canada,Instagram,28,11,2022,17,15,7," Lost in the vast sea of information, an indifferent wave in the digital ocean. ",#Indifference #DigitalOverload,198,200,Indifference,2022-11-28 17:30:00.000000 UTC,1.94
17,ArchaeologyEnthusiast,40,Australia,Facebook,8,11,2015,10,35,18,Curiosity piqued by the mysteries of an ancient archaeological site.,#Curiosity #AncientMysteries,370,374,Curiosity,2015-11-08 10:00:00.000000 UTC,3.9
18,ArchaeologyEnthusiast,35,Australia,Instagram,8,11,2015,10,35,18,Curiosity awakened by the mysteries of an ancient archaeological site.,#Curiosity #AncientMysteries,411,415,Curiosity,2015-11-08 10:00:00.000000 UTC,7.73
19,ArianaEuphoriaChaser,28,USA,Facebook,22,1,2023,20,70,35,"In the crowd of an Ariana Grande concert, the high notes of 'Into You' create a euphoric symphony. ",#Euphoria #ArianaGrande,529,533,Euphoria,2023-01-22 20:00:00.000000 UTC,1.21
20,ArtAdventurer,44,Canada,Facebook,13,6,2023,14,45,22,Exploring the world of digital art. It's never too late to discover new passions. #DigitalArtistry #LateBloomer,#ArtDiscovery #SeniorArtist,605,609,Curiosity,2023-06-13 14:45:00.000000 UTC,6.08
21,ArtAppreciator,20,UK,Instagram,11,11,2020,15,35,18,Reverence for the artistry displayed in a museum.,#Reverence #ArtAppreciation,135,137,Reverence,2020-11-11 15:00:00.000000 UTC,7.15
22,ArtConnoisseur,28,France,Twitter,5,4,2019,17,35,18,Intrigued by the symphony of colors in an abstract art exhibition.,#Intrigue #AbstractArt,372,376,Intrigue,2019-04-05 17:30:00.000000 UTC,7.03
23,ArtEnthusiastStreetArtExploration,32,Brazil,Instagram,5,11,2017,21,45,22,"Exploring the vibrant street art of a cultural neighborhood, each mural tells a story, infusing the city with creativity and expression. ",#Creativity #StreetArtVibes,564,568,Creativity,2017-11-05 21:15:00.000000 UTC,0.78
24,ArtExhibitionJoyHighSchool,36,USA,Instagram,10,11,2015,16,44,23,Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes!,#ArtisticExpression #HighSchoolCreativity,726,730,Happy,2015-11-10 16:45:00.000000 UTC,7.72
16,ArtExplorer,53,USA,Facebook,30,1,2023,11,30,15,Exploring local art galleries this weekend.,#Art #GalleryExplore,45,46,Positive,2023-01-30 11:30:00.000000 UTC,6.01
25,ArtExplorer,23,USA,Facebook,9,6,2023,14,40,20,"Spent the afternoon at a museum, pretending to be cultured. Art enthusiast in the making. #MuseumDay #TeenArtLover ",#CulturalDay #TeenCuriosity,601,605,Curiosity,2023-06-09 14:00:00.000000 UTC,1.59
28,ArtGalleryVisitor,39,USA,Facebook,6,7,2023,14,50,25,"Visited an art gallery, appreciating the brushstrokes that tell tales of creativity. Art, an eternal companion. #ArtGallery #SeniorArtLover ",#CreativeExpressions #SeniorArt,628,632,Joy,2023-07-06 14:30:00.000000 UTC,3.55
29,ArtisticSenior,43,Canada,Twitter,24,6,2023,16,45,22,"Participated in a community art class, unleashing creativity in the golden years. Art has no age limit. #ArtClass #SeniorArtistry ",#CreativityAtAnyAge #SeniorCreativity,616,620,Joy,2023-06-24 16:15:00.000000 UTC,7.62
30,ArtisticSpirit,15,USA,Instagram,17,9,2020,16,30,15,Enthusiasm for a new artistic project in the works.,#Enthusiasm #ArtisticProject,147,149,Enthusiasm,2020-09-17 16:30:00.000000 UTC,6.9
31,ArtistInAction,44,Canada,Facebook,24,1,2023,15,25,12,New painting in progress! 🎨,#Art #PaintingInProgress,30,31,Positive,2023-01-24 15:00:00.000000 UTC,3.08
32,AstronomyEnthusiastStargazing,21,USA,Facebook,22,9,2016,20,35,18,"At the astronomy observatory, the stargazer marvels at the vastness of the cosmos, contemplating the mysteries hidden within the celestial expanse. ",#CelestialWonder #Stargazing,576,580,Celestial Wonder,2016-09-22 20:00:00.000000 UTC,0.62
33,AtlasBearer,16,Canada,Instagram,25,6,2021,17,44,22," Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",#Overwhelmed #BouldersOfExhaustion,303,307,Overwhelmed,2021-06-25 17:50:00.000000 UTC,2.73
34,AudioExplorer,62,USA,Twitter,23,5,2023,16,40,20,Lost my headphones again. How do they vanish into thin air? #HeadphoneMystery #TeenLife,#TeenProblems #LostHeadphones,584,588,Frustration,2023-05-23 16:45:00.000000 UTC,1.05
35,AwardWinningActorOscarsRecipient,63,USA,Facebook,28,2,2016,20,35,18,"At the Oscars, the actor graciously accepts an award, radiating joy and gratitude for the recognition of their outstanding performance. ",#Gratitude #OscarWinningMoment,536,540,Gratitude,2016-02-28 20:30:00.000000 UTC,1.43
36,AweStruck,55,Australia,Facebook,15,2,2023,20,45,22,Experiencing awe at the breathtaking sunset.,#Awe #Breathtaking,64,66,Awe,2023-02-15 20:30:00.000000 UTC,7.59
37,BadHairDayBluesHighSchool,28,Canada,Instagram,27,9,2023,17,36,18,Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence.,#BadHairDay #HighSchoolConfidence,700,704,Bad,2023-09-27 17:30:00.000000 UTC,7.78
38,BakeSaleRecipeExperimentHighSchool,18,USA,Instagram,5,10,2023,14,43,21,Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen.,#BakingAdventures #HighSchoolBakes,708,712,Neutral,2023-10-05 14:15:00.000000 UTC,4.34
39,BasketballFanTeamLosses,48,Canada,Twitter,12,2,2019,19,45,22,"Experiencing a series of losses in the basketball season, the team grapples with frustration, determined to turn the tide with renewed effort. ",#RenewedEffort #BasketballStruggles,557,561,Renewed Effort,2019-02-12 19:45:00.000000 UTC,5.04
40,BasketballFanUnderdogTriumph,35,USA,Facebook,20,6,2022,21,35,18,"Cheering for the underdog in the basketball finals, the crowd erupts in applause as the team defies odds to claim the championship title. ",#Triumph #BasketballFinals,546,550,Triumph,2022-06-20 21:00:00.000000 UTC,3.89
41,BeachLover,19,Australia,Facebook,17,1,2023,12,35,18,Missing summer vibes and beach days.,#Summer #BeachDays,9,9,Neutral,2023-01-17 12:20:00.000000 UTC,0.73
42,BeyonceDancer,38,USA,Twitter,28,7,2019,21,70,35,"Dancing under the stars at Beyoncé's live show, feeling the power of 'Single Ladies' in every move. ",#Energy #BeyonceConcert,512,516,Energy,2019-07-28 21:30:00.000000 UTC,1.67
43,BieberDanceEnthusiast,14,Canada,Instagram,5,8,2018,20,80,40,"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",#Enthusiasm #JustinBieber,521,525,Enthusiasm,2018-08-05 20:00:00.000000 UTC,7.26
44,BikeExplorer,60,USA,Instagram,1,2,2023,13,35,18,Sunday bike ride through scenic trails.,#BikeRide #ScenicTrails,52,53,Positive,2023-02-01 13:30:00.000000 UTC,1.5
45,BirthdayBash,26,UK,Facebook,28,1,2023,19,30,15,Celebrating a friend's birthday tonight! 🎂,#Birthday #Celebration,42,43,Positive,2023-01-28 19:30:00.000000 UTC,7.45
46,BirthdayExcite,47,Canada,Facebook,27,2,2023,18,45,22,Excitement building up for a surprise birthday party.,#Excitement #SurpriseParty,97,99,Excitement,2023-02-27 18:45:00.000000 UTC,3.72
47,BirthdayJoy,29,UK,Instagram,5,11,2018,21,30,15,The euphoria of a surprise birthday celebration.,#Euphoria #BirthdaySurprise,138,140,Euphoria,2018-11-05 21:45:00.000000 UTC,0.92
48,BirthdayPartyJoyHighSchool,40,USA,Instagram,22,6,2018,14,48,25,"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ",#SurpriseCelebration #HighSchoolFriendship,729,733,Happy,2018-06-22 14:15:00.000000 UTC,7.27
49,BirthdayPartyPlannerHighSchool,41,Canada,Twitter,11,8,2023,18,45,22,Successfully organized a surprise birthday party for a friend. Party planning expert mode: Achieved!,#BirthdayParty #HighSchoolCelebration,653,657,Joy,2023-08-11 18:45:00.000000 UTC,1.13
50,BirthdaySurpriseHighSchool,22,UK,Instagram,16,10,2023,15,52,27,Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around!,#SurpriseParty #HighSchoolCelebration,719,723,Happy,2023-10-16 15:45:00.000000 UTC,1.12
